AGENCY_ID,STAT_PROFILE_DATE_YEAR,POLY_INFORCE_QTY,NB_WRTN_PREM_AMT,PRD_INCRD_LOSSES_AMT,RETENTION_RATIO,LOSS_RATIO,GROWTH_RATE_3YR,ACTIVE_PRODUCERS,AGENCY_AGE,PREMIUM_GROWTH_YOY,PROD_LINE_ENC,STATE_ENC,MONTHS
6482,2013,933,0.0,19857.73,0.938631791,0.436802557,-0.06006069,17.0,64,-0.017523821955358364,1,3,12
8677,2006,0,0.0,-500.0,0.8875,-0.026232398,-0.015575222,13.0,36,2.7931521706683653,0,1,12
7529,2008,60,0.0,4197.77,0.808510638,3.553818151,-0.01607827,20.0,20,0.18162538513864998,1,0,12
1815,2008,0,1597.0,7418.13,0.8875,0.087571551,0.101396164,13.0,30,-0.15569286683159567,0,3,12
9545,2010,0,0.0,0.0,0.8875,0.0,0.237610051,8.0,7,0.012656274116375984,0,3,12
5109,2012,12,0.0,0.0,1.0,0.0,-0.060549269,20.0,46,0.12962962962962962,1,0,12
2677,2008,0,0.0,0.0,0.8875,0.0,-0.133179247,4.0,30,0.32394130713438385,0,5,12
1489,2010,35,0.0,0.0,0.962962963,0.0,0.478180142,18.0,5,0.1275626423690205,1,1,12
1378,2013,88,741.0,0.0,0.560283688,0.0,0.02740869,43.0,14,0.170789290921041,1,3,12
562,2010,0,0.0,-24831.73,0.8875,-11.7241407,-0.062181203,22.0,30,0.03367496339677892,0,5,12
4808,2007,12,0.0,0.0,1.0,0.0,-0.015575222,13.0,42,0.023696682464454975,1,4,12
1845,2012,3044,5149.34,120434.18,0.936210727,0.524149994,0.019976414,5.0,46,-0.03815833614987969,1,4,12
8001,2011,0,0.0,0.0,0.8875,0.0,-0.015575222,7.0,4,0.06382978723404255,0,4,12
456,2011,1684,11781.69,42523.19,0.797935103,0.23330772,-0.087730373,18.0,14,-0.1714935006726703,1,0,12
1953,2014,0,342.9,0.0,0.8875,0.0,0.013522189,19.0,13,-0.9999072990729907,1,3,7
1512,2010,0,0.0,0.0,0.8875,0.0,-0.189262579,15.0,15,-0.6959963684634061,0,1,12
3680,2005,198,0.0,0.0,0.908653846,0.0,-0.015575222,12.0,29,0.0426943145932609,1,3,8
1569,2010,37,495.0,0.0,1.0,0.0,-0.010797524,16.0,39,0.06614779874213844,1,3,12
4578,2009,0,0.0,0.0,0.8875,0.0,-0.089731717,45.0,24,-0.16445846144093312,0,3,12
1569,2014,0,0.0,0.0,0.8875,0.0,0.041044524,16.0,43,0.04807692307692308,0,3,12
3487,2012,0,0.0,0.0,0.8875,0.0,0.081939175,52.0,7,0.3585908370119572,0,3,12
1901,2006,1364,0.0,-32696.62,0.873239437,-0.678311738,-0.015575222,66.0,18,-0.08875220165402184,1,4,12
2333,2011,0,9506.0,0.0,0.8875,0.0,0.344183664,18.0,3,1.977699484411999,0,0,12
7884,2008,0,31880.0,-3038.02,0.8875,-0.048936508,0.611125114,24.0,5,1.2511805118899721,0,3,12
6750,2010,0,0.0,44115.13,0.8875,0.838571116,-0.064804554,15.0,23,-0.01248206155339199,0,0,12
2477,2008,0,0.0,0.0,0.8875,0.0,-0.015575222,19.0,0,-0.998939989399894,0,0,4
2265,2014,0,6183.0,6709.61,0.8875,0.041119173,0.402667513,49.0,47,0.2575428031517424,0,3,12
6605,2008,0,108687.0,11623.37,0.8875,0.074429581,0.388378167,23.0,9,1.0983558449582072,0,4,12
9145,2009,0,734.0,0.0,0.8875,0.0,-0.11049294,105.0,23,1.0857946554149085,0,4,12
1847,2014,127,0.0,0.0,0.913669065,0.0,-0.065533449,26.0,51,0.23992151327513336,1,1,12
4229,2011,0,220.0,-58529.48,0.8875,-1.359493065,0.052113819,19.0,10,-0.29459632296522187,0,3,12
9362,2012,0,0.0,0.0,0.8875,0.0,0.033337214,135.0,17,0.33511993143326213,0,0,12
5548,2006,34,35.55,3132.79,0.666666667,14.57925354,-0.015575222,13.0,18,-0.31569058310244896,1,3,12
4229,2005,0,12170.0,5686.32,0.8875,0.067643094,-0.015575222,19.0,4,-0.29096418365660026,0,3,8
6390,2006,251,175.1,0.0,0.837944664,0.0,-0.015575222,22.0,33,-0.1804442527840666,1,3,12
6525,2007,3489,12756.0,17859.21,0.907643312,0.106108042,-0.015575222,13.0,26,0.04159309850559905,1,3,12
9011,2014,0,0.0,0.0,0.8875,0.0,-0.013404459,14.0,11,-0.18068118934105218,0,1,12
3613,2014,0,543.0,9.09e-13,0.8875,9.54e-16,0.892782867,30.0,12,1.1984359500795865,0,3,12
9634,2014,245,380.0,0.0,0.977876106,0.0,0.114701023,28.0,13,0.14533542172720976,1,3,12
9314,2014,12,0.0,0.0,0.631578947,0.0,0.039104333,6.0,35,-0.17660810671433974,1,1,12
3976,2011,271,5849.0,0.0,0.937931035,0.0,0.576490877,10.0,20,0.39217608305050905,1,4,12
9649,2010,0,0.0,0.0,0.8875,0.0,-0.015575222,19.0,2,-0.18484288354898337,0,2,12
9253,2009,0,0.0,0.0,0.8875,0.0,-0.04646685,16.0,13,-0.008372093023255815,0,3,12
9561,2012,0,0.0,-5812.0,0.8875,-1.013995652,-0.738473518,164.0,35,-0.7981127822197176,0,3,12
6035,2012,0,0.0,0.0,0.8875,0.0,-0.197669909,9.0,25,0.06274880902064779,0,0,12
156,2006,0,0.0,0.0,0.8875,0.0,-0.015575222,30.0,6,0.05207262761219596,0,5,12
9571,2014,27,504.0,0.0,0.555555556,0.0,0.002590198,12.0,74,-0.8795638048058674,1,3,12
4000,2012,0,0.0,1500.0,0.8875,0.2016148,0.025735649,8.0,4,-0.3081445359177726,0,3,12
5510,2008,1025,1983.79,17969.74,0.89208007,0.223412335,-0.124532855,11.0,28,-0.14800729446553187,1,3,12
8959,2007,0,0.0,0.0,0.8875,0.0,-0.015575222,96.0,7,1.672987775773217,0,3,12
5874,2013,672,3223.91,7686.98,0.870466321,0.089276139,0.073816355,17.0,6,-0.09174250474627497,1,3,12
9891,2009,80,0.0,0.0,0.953125,0.0,-0.024630469,37.0,29,-0.045223880597014876,1,3,12
9285,2009,0,0.0,0.0,0.8875,0.0,0.123781519,73.0,20,-0.0539053905390539,0,0,12
470,2005,0,0.0,9135.85,0.8875,0.391321481,-0.015575222,10.0,24,-0.004457864566031841,0,0,8
6824,2009,0,8930.0,20163.69,0.8875,0.168611575,1.743124902,59.0,5,0.13024463553427093,0,3,12
9144,2005,84,645.0,0.0,0.769230769,0.0,-0.015575222,14.0,35,0.15518941671677686,1,3,8
3354,2014,0,3901.0,28988.71,0.8875,0.333809908,-0.024095612,24.0,44,0.08573403595218419,0,3,12
6406,2009,0,1303.0,0.0,0.8875,0.0,-0.015575222,15.0,1,0.44354475933423304,0,4,12
3863,2012,24,0.0,0.0,1.0,0.0,-0.154927023,19.0,5,0.039444195428059166,1,3,12
512,2010,2839,9130.29,85044.33,0.963091922,0.398316356,0.003180866,12.0,25,0.02317466462091966,1,3,12
3354,2005,0,0.0,-47323.25,0.8875,-0.480680891,-0.015575222,24.0,35,0.17121754079702614,0,3,8
9608,2009,0,0.0,0.0,0.8875,0.0,-0.037004569,20.0,43,0.04537116301822184,0,3,12
8694,2009,0,0.0,0.0,0.8875,0.0,-0.031993386,33.0,24,0.0,0,0,12
3186,2007,12,0.0,0.0,1.0,0.0,-0.015575222,30.0,22,0.0,1,3,12
9598,2007,0,9777.0,7241.23,0.8875,0.1210062,-0.015575222,22.0,11,-0.2997182106375484,0,0,12
9012,2010,0,2260.0,0.0,0.8875,0.0,-0.015575222,16.0,3,-0.97739977399774,0,2,8
2017,2007,13,0.0,4501.99,0.077922078,4.436463435,-0.015575222,19.0,0,-1.0,1,3,12
7138,2007,0,15806.0,46324.48,0.8875,0.27687684,-0.015575222,114.0,16,-0.02008784202983015,0,3,12
8378,2008,0,741.0,15508.75,0.8875,0.207365311,-0.053553329,4.0,18,0.42966996562767196,0,0,12
2606,2013,0,640.0,0.0,0.8875,0.0,0.305440265,5.0,7,1.6713600782778866,0,0,12
7760,2014,132,0.0,0.0,0.942857143,0.0,-0.03823195,17.0,32,0.23080656630835156,1,3,12
4815,2009,0,12690.0,0.0,0.8875,0.0,-0.015575222,43.0,0,-0.8773487734877349,0,4,6
7097,2006,0,10067.0,2608.49,0.8875,0.025019826,-0.015575222,55.0,5,0.06291747964686366,0,3,12
5548,2010,1606,7256.0,14306.43,0.849583829,0.157301346,-0.055925909,13.0,22,-0.042472386742267255,1,3,12
6047,2013,0,0.0,0.0,0.8875,0.0,-0.036191728,62.0,26,-0.012897818770595848,0,3,12
3077,2008,0,146204.0,30678.3,0.8875,0.141256903,1.085666195,65.0,19,1.1776176952019513,0,4,12
5109,2007,12,0.0,0.0,1.0,0.0,-0.015575222,20.0,41,-0.0673854447439353,1,0,12
3467,2013,117,141.0,0.0,0.918918919,0.0,-0.078987041,54.0,12,0.003228602891216172,1,3,12
1668,2006,4,216.0,0.0,0.8875,0.0,-0.015575222,18.0,6,-0.997839978399784,1,4,4
3186,2005,8,0.0,0.0,0.615384615,0.0,-0.015575222,30.0,20,1.5631636763090444,1,3,8
5912,2010,0,0.0,0.0,0.8875,0.0,0.057152883,66.0,40,0.16083150984682712,0,4,12
