Year,Total_Records,Total_Written_Premium,Avg_Premium_Per_Record,Total_New_Business_Premium
2005,12693,274847855.33,21653.5,33128543.64
2006,14059,413410568.17,29405.4,53804061.03
2007,14329,409016576.34,28544.67,44679899.65
2008,14908,415823965.06,27892.67,53784113.85
2009,15273,413354701.58,27064.41,50105748.6
2010,15092,410811002.2,27220.45,37370356.12
2011,14623,402377564.49,27516.76,27909844.77
2012,15639,405967783.45,25958.68,40334733.46
2013,15576,427281524.28,27432.04,58060760.09
2014,15568,437543915.53,28105.34,56464786.41
