Year,PROD_LINE_ENC,Total_Premium,Avg_3Yr_Growth_Rate,Avg_Retention
2005,0,95495332.21,-0.0156,0.8875
2006,0,151997178.86,-0.0156,0.8875
2007,0,152532681.59,-0.0156,0.8875
2008,0,165522754.49,0.0432,0.8875
2009,0,167900101.65,0.0413,0.8875
2010,0,166666352.74,0.029,0.8875
2011,0,166544290.38,0.0291,0.8875
2012,0,174505752.49,0.0236,0.8875
2013,0,190573499.0,0.0342,0.8875
2014,0,204441129.84,0.0545,0.8875
2005,1,179352523.12,-0.0156,0.8325
2006,1,261413389.31,-0.0156,0.8288
2007,1,256483894.75,-0.0156,0.8425
2008,1,250301210.57,-0.0008,0.8519
2009,1,245454599.93,-0.0015,0.8609
2010,1,244144649.46,0.0102,0.8561
2011,1,235833274.11,0.0159,0.8472
2012,1,231462030.96,-0.0009,0.8491
2013,1,236708025.28,0.0222,0.8551
2014,1,233102785.69,0.0192,0.8434
